"","species","year","stock","area","Landings","Landings_total","proportion_landings","advice","ICES_cat","advice_corrected","rel_advice","diff_advice","cat_group","latin_name","species_code","Linf","Lmat","Fecundity"
"1","Blonde ray",2018,"rjh.27.7e","Celtic Seas",735.126175,735.126175,1,333,5,333,1.20758611111111,402.126175,"Category 5 and 6","Raja brachyura","RJH",125,82,42
"2","Blonde ray",2017,"rjh.27.4a6","Celtic Seas",5.99141,5.99141,1,6,5,6,-0.00143166666666661,-0.00858999999999988,"Category 5 and 6","Raja brachyura","RJH",125,82,42
"3","Blonde ray",2016,"rjh.27.9a","Bay of Biscay and Iberian coast",221.6664,221.6664,1,200,3,200,0.108332,21.6664,"Category 3","Raja brachyura","RJH",125,82,42
"4","Blonde ray",2016,"rjh.27.4a6","Celtic Seas",13.67691,13.83791,0.988365295048168,6,5,5.93019177028901,1.30631833333333,7.74671822971099,"Category 5 and 6","Raja brachyura","RJH",125,82,42
"5","Blonde ray",2020,"rjh.27.4a6","Celtic Seas",21.32783,21.47432,0.993178363738642,9,5,8.93860527364778,1.38603555555556,12.3892247263522,"Category 5 and 6","Raja brachyura","RJH",125,82,42
"6","Blonde ray",2022,"rjh.27.7afg","Celtic Seas",1342.10161,1342.10161,1,716,5,716,0.874443589385475,626.10161,"Category 5 and 6","Raja brachyura","RJH",125,82,42
"7","Blonde ray",2019,"rjh.27.4a6","Celtic Seas",34.6579,35.3543,0.980302254605522,9,5,8.8227202914497,2.92825555555555,25.8351797085503,"Category 5 and 6","Raja brachyura","RJH",125,82,42
"8","Blonde ray",2017,"rjh.27.9a","Bay of Biscay and Iberian coast",235.866,235.866,1,177,3,177,0.332576271186441,58.866,"Category 3","Raja brachyura","RJH",125,82,42
"9","Blonde ray",2019,"rjh.27.9a","Bay of Biscay and Iberian coast",262.7987,262.7987,1,212,3,212,0.239616509433962,50.7987,"Category 3","Raja brachyura","RJH",125,82,42
"10","Blonde ray",2021,"rjh.27.9a","Bay of Biscay and Iberian coast",277.78631,277.78631,1,254,3,254,0.0936468897637797,23.78631,"Category 3","Raja brachyura","RJH",125,82,42
"11","Blonde ray",2018,"rjh.27.4bc7d","Greater North Sea",254.83533,254.83533,1,195,3,195,0.306847846153846,59.83533,"Category 3","Raja brachyura","RJH",125,82,42
"12","Blonde ray",2018,"rjh.27.7afg","Celtic Seas",1076.502805,1076.502805,1,895,5,895,0.202796430167598,181.502805,"Category 5 and 6","Raja brachyura","RJH",125,82,42
"13","Blonde ray",2022,"rjh.27.4a6","Celtic Seas",4.555389,5.395389,0.844311503767384,7,5,5.91018052637169,-0.229230142857143,-1.35479152637169,"Category 5 and 6","Raja brachyura","RJH",125,82,42
"14","Blonde ray",2016,"rjh.27.4bc7d","Greater North Sea",182.93209,182.93209,1,162,3,162,0.129210432098765,20.93209,"Category 3","Raja brachyura","RJH",125,82,42
"15","Blonde ray",2017,"rjh.27.7e","Celtic Seas",504.05635,504.05635,1,333,5,333,0.513682732732733,171.05635,"Category 5 and 6","Raja brachyura","RJH",125,82,42
"16","Blonde ray",2021,"rjh.27.4a6","Celtic Seas",14.33671,14.59447,0.982338515889923,9,5,8.8410466430093,0.621607777777778,5.4956633569907,"Category 5 and 6","Raja brachyura","RJH",125,82,42
"17","Blonde ray",2022,"rjh.27.7e","Celtic Seas",1080.139,1080.139,1,266,5,266,3.06067293233083,814.139,"Category 5 and 6","Raja brachyura","RJH",125,82,42
"18","Blonde ray",2022,"rjh.27.4a6","Greater North Sea",0.84,5.395389,0.155688496232616,7,5,1.08981947362831,-0.229230142857143,-0.249819473628315,"Category 5 and 6","Raja brachyura","RJH",125,82,42
"19","Blonde ray",2021,"rjh.27.4bc7d","Greater North Sea",298.81763,298.81763,1,164,3,164,0.822058719512195,134.81763,"Category 3","Raja brachyura","RJH",125,82,42
